
Row          Column       Scattering   Scattering   Direct       Direct
Number       Number       Number       Energy(MeV)  Number       Energy(MeV)
1400         11           210          9.46         933          52.39        
1400         12           191          9.102        958          54.34        
1400         13           226          11.11        953          54.18        
1400         14           213          10.55        961          54.92        
1400         15           209          10.12        931          52.79        
1400         16           229          11.36        919          51.93        
1400         17           223          10.53        974          55.48        
1400         18           198          8.989        938          52.17        
1400         19           194          9.028        967          55.05        
1400         20           197          9.713        986          56.07        
1400         21           425          20.6         2017         117.3        
1400         22           385          18.63        2130         120          
1400         23           453          21.83        2024         116.2        
1400         24           397          19.78        2027         115.9        
1400         25           129          5.267        559          30.37        
1500         0            123          5.418        591          31.39        
1500         1            397          18.41        2052         113.7        
1500         2            459          21.38        1994         112.5        
1500         3            410          19.08        2068         116.8        
1500         4            442          21.21        2038         116.7        
1500         5            190          8.946        962          54.41        
1500         6            208          9.033        963          55.15        
1500         7            216          10.13        962          55.45        
1500         8            199          8.856        960          54.07        
1500         9            196          9.307        991          55.43        
1500         10           207          10.22        972          54.81        
1500         11           208          9.775        1000         56.72        
1500         12           201          9.149        973          53.91        
1500         13           203          10.24        936          53.26        
1500         14           228          10.73        999          56.75        
1500         15           209          10.3         921          52.92        
1500         16           210          10.06        1025         58.93        
1500         17           208          9.185        990          55.76        
1500         18           236          10.86        1006         55.82        
1500         19           207          9.735        974          54.2         
1500         20           225          11.5         992          56.01        
1500         21           451          22.11        2035         115.3        
1500         22           444          21.56        1983         115.9        
1500         23           389          19.05        2015         112.7        
1500         24           393          18.14        1964         109.8        
1500         25           142          6.307        578          29.83        
1600         0            106          4.794        562          29.52        
1600         1            413          19.44        2052         117.1        
1600         2            399          19.18        2014         113.5        
1600         3            405          19.5         2013         113.7        
1600         4            430          20.35        1971         112.2        
1600         5            195          9.673        960          53.99        
1600         6            215          9.89         944          53.51        
1600         7            216          9.64         957          54.05        
1600         8            212          9.816        946          54.76        
1600         9            229          11.06        918          51.68        
1600         10           204          9.673        971          55.37        
1600         11           207          9.756        966          55.16        
1600         12           201          9.514        1002         57.28        
1600         13           218          10.36        976          55.49        
1600         14           208          9.513        1020         58.19        
1600         15           221          10.42        946          53.85        
1600         16           190          9.332        1000         55.76        
1600         17           197          9.678        1009         56.05        
1600         18           193          8.779        944          52.58        
1600         19           207          9.631        921          50.69        
1600         20           192          9.015        997          57.3         
1600         21           405          19.56        1913         108.3        
1600         22           432          20.83        2019         112.9        
1600         23           433          20.39        2088         119.5        
1600         24           391          18.71        2071         116.9        
1600         25           112          4.619        566          28.76        
1700         0            135          6.006        551          28.21        
1700         1            408          19.29        2048         115.8        
1700         2            383          18.49        2001         113.4        
1700         3            400          18.98        2091         118          
1700         4            432          19.75        2042         115.4        
1700         5            200          9.558        971          54.64        
1700         6            202          9.748        970          54.01        
1700         7            197          8.813        965          53.86        
1700         8            198          9.297        998          57.39        
1700         9            204          9.568        989          55.12        
1700         10           210          9.941        938          53.29        
1700         11           200          9.912        1000         54.91        
1700         12           178          8.307        943          52.85        
1700         13           198          9.683        954          54.33        
1700         14           248          12.09        965          55.23        
1700         15           218          9.499        950          54.31        
1700         16           257          12.66        994          58           
1700         17           233          10.84        997          56.36        
1700         18           229          11.07        949          52.05        
1700         19           219          10.15        1012         56.39        
1700         20           221          10.19        1003         57.36        
1700         21           391          19.14        2153         124.5        
1700         22           403          19.01        2003         113.9        
1700         23           373          17.31        2043         114.3        
1700         24           385          18.11        2002         112.3        
1700         25           103          4.372        584          30.12        
1800         0            116          4.658        603          30.45        
1800         1            417          19.78        2075         114.8        
1800         2            413          20.37        2084         116.2        
1800         3            411          18.99        2030         112.1        
1800         4            431          20.35        2028         112.4        
